idClient;cliNom;cliPrenom;cliNumTel;cliLocalite;cliCp
;Acevedo;Daryl;16220609 2831;Hudson's Hope;26867
;Ross;Leo;16750313 0572;Arrone;23911
;Dodson;Eden;16910112 9469;Chimbarongo;62977
;Curtis;Anika;16271221 3764;Langenhagen;23797
;Blankenship;Colin;16040723 9078;New Orleans;07610
;Witt;Talon;16060208 0301;Daska;94149
;Meyers;Grant;16861015 1949;Ligny;77261
;Odom;Olympia;16140817 7820;Weisenfels;34681
;Hood;Stone;16921228 1050;Norman;56794
;Gomez;Patrick;16910905 4693;Pilibhit;20467
;Hurst;Walter;16540515 8279;Straubing;45016
;Kirkland;Octavia;16910105 8130;Buguma;28228
;Lancaster;Kelly;16381103 2857;Neerrepen;91646
;Herman;Baker;16840823 1333;Medea;23377
;Huber;Ali;16010508 3901;Lerwick;42123
;Lee;Ivana;16541018 4138;Abingdon;87810
;Holcomb;Clio;16440323 2434;Körfez;34996
;Wooten;Jescie;16600527 1223;Gwalior;20340
;Murphy;Ashely;16570225 6701;Chatelineau;84877
;Byers;Kermit;16880706 7486;Sainte-Marie-sur-Semois;33496
;Benjamin;Cullen;16940815 9615;Mirny;79352
;Drake;Elijah;16301006 2010;Lomza;78858
;Rosa;Nevada;16771203 4318;Krasnoarmeysk;95254
;Spears;Kennan;16240104 7929;Cuxhaven;53206
;Mcgee;Rajah;16490327 3524;Buti;76731
;Allen;Maggie;16730310 4850;Squillace;47599
;Ballard;Jolene;16640426 9075;Orenburg;41423
;Pope;Mohammad;16041225 8840;Multan;44484
;Curtis;Alvin;16920312 1638;Gwangyang;56909
;Hogan;Lacota;16120515 0038;Heredia;20111
;Robertson;Stephen;16960807 6635;Boulogne-Billancourt;20351
;Good;Keegan;16540629 3661;Chimbote;34764
;Mcdowell;Connor;16790609 2866;Colonnella;44758
;Ross;Shad;16340704 3524;Katsina;79722
;Munoz;Noble;16160619 8156;Armento;08569
;Brooks;Claire;16550508 8178;Knighton;29442
;Avila;Flynn;16410622 0421;Fosses-la-Ville;96704
;Torres;Gretchen;16180503 7502;Sahiwal;70609
;Mccullough;Teegan;16460221 1551;Plymouth;51100
;Ford;Aristotle;16071010 4290;Montauban;14049
;Bolton;Rhonda;16800511 3363;Latera;72475
;Moreno;Wyoming;16610323 5484;Genova;80077
;Crane;Evangeline;16130529 0866;Tobermory;41306
;Finch;Ria;16781210 3690;Chungju;45459
;Bruce;Jasper;16890823 2526;Gualdo Tadino;95923
;Browning;Reed;16730617 9529;Coleville Lake;76671
;Dawson;Austin;16720918 1986;Berwick-upon-Tweed;07186
;Vance;Wendy;16120416 6712;Kessel;04088
;Hester;Bert;16131106 1392;Campbellton;86572
;Gonzales;Unity;16760605 4588;Fayetteville;52744
